time bpm respiration
0.1 509 513
0.2 510 513
0.3 512 513
0.4 509 513
0.5 512 513
0.6 509 513
0.7 511 513
0.8000001 512 512
0.9000001 510 513
1 510 511
1.1 512 510
1.2 514 508
1.3 510 512
1.4 510 514
1.5 511 514
1.6 512 513
1.7 508 512
1.8 511 512
1.9 510 512
2 512 513
2.1 509 513
2.2 512 513
2.3 509 514
2.4 510 513
2.5 510 513
2.6 511 513
2.7 511 513
2.799999 510 513
2.899999 510 514
2.999999 510 513
3.099999 511 513
3.199999 510 513
3.299999 511 513
3.399999 510 513
3.499999 511 513
3.599999 511 512
3.699999 511 513
3.799999 512 512
3.899998 507 512
3.999998 512 513
4.099998 511 513
4.199998 511 513
4.299998 510 513
4.399998 512 513
4.499998 510 512
4.599998 512 513
4.699998 511 513
4.799998 510 513
4.899998 510 513
4.999998 509 512
5.099998 511 512
5.199997 510 512
5.299997 510 512
5.399997 512 512
5.499997 511 512
5.599997 511 512
5.699997 511 512
5.799997 509 513
5.899997 512 513
5.999997 510 512
6.099997 508 513
6.199996 512 512
6.299996 510 513
6.399996 513 513
6.499996 511 513
6.599996 511 513
6.699996 511 512
6.799996 510 512
6.899996 510 512
6.999996 510 512
7.099996 512 512
7.199996 508 511
7.299995 512 512
7.399995 510 511
7.499995 513 511
7.599995 508 511
7.699995 513 511
7.799995 509 511
7.899995 511 512
7.999995 510 511
