number	cycle	long	type	successrate
0	1	4	inspire	35.9
1	1	7	no	60.29
2	1	8	expire	58.23
3	2	4	inspire	28.21
4	2	7	no	47.83
5	2	8	expire	45.0
6	3	4	inspire	43.59
7	3	7	no	40.58
8	3	8	expire	54.43
9	4	4	inspire	41.03
10	4	7	no	34.78
11	4	8	expire	53.16
12	5	4	inspire	43.59
13	5	7	no	36.23
14	5	8	expire	55.7
15	6	4	inspire	30.77
16	6	7	no	37.68
17	6	8	expire	50.63
18	7	4	inspire	46.15
19	7	7	no	39.13
20	7	8	expire	49.37
21	8	4	inspire	41.03
22	8	7	no	27.54
23	8	8	expire	52.56
24	9	4	inspire	30.77
25	9	7	no	36.23
26	9	8	expire	54.43
27	10	4	inspire	43.59
28	10	7	no	33.33
29	10	8	expire	51.9
30	11	4	inspire	46.15
31	11	7	no	43.48
32	11	8	expire	53.16
33	12	4	inspire	41.03
34	12	7	no	36.23
35	12	8	expire	50.63
36	13	4	inspire	48.72
37	13	7	no	23.19
38	13	8	expire	40.51
39	14	4	inspire	41.03
40	14	7	no	36.23
41	14	8	expire	58.23
42	15	4	inspire	43.59
43	15	7	no	72.46
44	15	8	expire	56.96
45	16	4	inspire	28.21
46	16	7	no	52.17
47	16	8	expire	64.56
48	17	4	inspire	41.03
49	17	7	no	49.28
50	17	8	expire	54.43
51	18	4	inspire	46.15
