time	bpm	respiration
0.0	443	316
0.1	456	178
0.2	778	88
0.3	485	46
0.4	273	24
0.5	470	19
0.6	400	45
0.7	358	38
0.8	386	119
0.9	403	327
1.0	748	455
1.1	945	645
1.2	377	803
1.3	371	908
1.4	511	964
1.5	381	992
1.6	379	1005
1.7	756	1004
1.8	945	1014
1.9	296	1019
2.0	409	1020
2.1	507	1019
2.2	591	1019
2.3	677	1020
2.4	273	1019
2.5	414	978
2.6	446	945
2.7	359	828
2.8	354	787
2.9	373	868
3.0	372	954
3.1	377	992
3.2	369	1010
3.3	845	1017
3.4	667	1020
3.5	244	1020
3.6	435	1012
3.7	474	947
3.8	395	890
3.9	391	880
4.0	694	871
4.1	722	851
4.2	344	829
4.3	436	781
4.4	515	732
4.5	439	721
4.6	510	723
4.7	840	724
4.8	458	690
4.9	380	624
5.0	559	536
5.1	470	450
5.2	440	333
5.3	946	188
5.4	787	109
5.5	376	69
5.6	587	182
5.7	511	353
5.8	427	483
5.9	946	548
6.0	946	568
6.1	414	546
6.2	441	515
6.3	491	531
6.4	373	551
6.5	534	572
6.6	946	613
6.7	655	681
6.8	230	751
6.9	496	810
7.0	341	874
7.1	320	917
7.2	414	934
7.3	946	937
7.4	661	957
7.5	199	990
7.6	507	1006
7.7	371	1006
7.8	320	1005
7.9	368	1015
8.0	384	1019
8.1	939	903
8.2	525	633
8.3	231	515
8.4	501	662
8.5	399	793
8.6	326	906
8.7	372	966
8.8	396	996
8.9	642	1009
9.0	582	1017
9.1	274	1020
9.2	406	1018
9.3	425	953
9.4	362	876
9.5	354	834
9.6	541	798
9.7	622	774
9.8	344	759
9.9	426	759
10.0	476	733
10.1	409	678
10.2	414	609
10.3	716	548
10.4	558	425
10.5	387	301
10.6	519	174
10.7	483	96
10.8	433	50
10.9	484	32
11.0	869	18
11.1	551	9
11.2	425	9
11.3	543	22
11.4	420	38
11.5	358	73
11.6	476	236
11.7	911	442
11.8	534	664
11.9	444	833
12.0	567	924
12.1	458	971
12.2	414	990
12.3	451	993
12.4	737	1004
12.5	845	990
12.6	412	1004
12.7	545	1014
12.8	572	1019
12.9	438	1017
13.0	440	974
13.1	476	939
13.2	616	949
13.3	946	952
13.4	448	958
13.5	436	973
13.6	593	989
13.7	422	999
13.8	383	854
13.9	412	512
14.0	428	284
14.1	859	297
14.2	626	418
14.3	293	527
14.4	542	743
14.5	507	878
14.6	381	949
14.7	419	977
14.8	454	973
14.9	864	975
15.0	670	954
15.1	308	903
15.2	514	858
15.3	524	801
15.4	406	745
15.5	422	747
15.6	806	710
15.7	779	524
15.8	324	338
15.9	503	222
16.0	535	163
16.1	387	168
16.2	408	155
16.3	946	106
16.4	756	149
16.5	244	167
16.6	544	212
16.7	468	265
16.8	358	300
16.9	636	312
17.0	946	353
17.1	368	422
17.2	309	465
17.3	549	531
17.4	362	575
17.5	382	607
17.6	946	647
17.7	946	710
17.8	153	723
17.9	473	734
18.0	494	815
18.1	334	914
18.2	400	964
18.3	940	993
18.4	946	1008
18.5	216	1016
18.6	488	1007
18.7	581	957
18.8	356	902
18.9	390	880
19.0	925	833
19.1	946	740
19.2	184	655
19.3	468	576
19.4	542	426
19.5	325	293
19.6	394	164
19.7	946	90
19.8	638	45
19.9	125	27
20.0	593	19
20.1	393	11
20.2	285	6
20.3	758	5
20.4	946	24
20.5	301	178
20.6	291	388
20.7	557	576
20.8	294	780
20.9	323	895
21.0	946	956
21.1	946	988
21.2	146	1005
21.3	497	1013
21.4	499	999
21.5	266	962
21.6	380	916
21.7	647	889
21.8	946	878
21.9	409	881
22.0	256	872
22.1	606	859
22.2	286	839
22.3	299	824
22.4	424	825
22.5	802	864
22.6	946	781
22.7	206	486
22.8	285	250
22.9	605	239
23.0	279	472
23.1	309	672
23.2	425	829
23.3	645	923
23.4	946	972
23.5	542	996
23.6	220	1009
23.7	673	1005
23.8	356	956
23.9	326	854
24.0	448	783
24.1	946	719
24.2	946	684
24.3	116	672
24.4	582	634
24.5	517	606
24.6	317	566
24.7	434	507
24.8	946	329
24.9	703	190
25.0	128	105
25.1	646	66
25.2	423	63
25.3	330	108
25.4	883	156
25.5	947	257
25.6	280	324
25.7	370	458
25.8	569	574
25.9	295	623
26.0	406	660
26.1	947	715
26.2	726	698
26.3	140	731
26.4	652	739
26.5	384	682
26.6	344	455
26.7	841	465
26.8	946	566
26.9	167	643
27.0	415	700
27.1	591	702
27.2	280	813
27.3	318	896
27.4	946	595
27.5	802	301
27.6	16	154
27.7	580	76
27.8	455	38
27.9	274	19
28.0	946	12
28.1	524	4
28.2	131	236
28.3	612	316
28.4	388	639
28.5	319	821
28.6	434	916
28.7	479	968
28.8	946	995
28.9	864	1008
29.0	86	1016
29.1	684	1019
29.2	408	1020
29.3	276	1020
29.4	444	1020
29.5	947	1020
29.6	626	1020
29.7	104	1002
29.8	681	1006
29.9	407	1014
30.0	724	1020
30.1	399	1020
30.2	222	1020
30.3	613	1020
30.4	404	1020
30.5	352	1020
30.6	428	1020
30.7	444	1020
30.8	448	1020
30.9	947	1020
31.0	946	1020
